,P. Kur,Ilwaki,Larat,Adault/Lingat,P. Leti,Saumlaki,Kaisui,Dawera / Dawelor,Dobo.1,Kisar,Namrole.1,Dobo.2,Tabarfane,Makassar,Arwala/ Sutilirang,Weduar,Kasiui,Elat,Tanjung Perak,Tam,Molu,Eray,Wamsisi,Kelang,Wunlah,P. Geser,Tutukembong,Dobo,Werinama,Kelimuri,Waemulang,Kisar.1,Bebar,Namlea.1,Marlasi,Tepa,Kisar 1,Lelang,P. Tior,Namrole,Banda Eli,Longgar,Moa,Kelimoi,P. Manawoka,Namlea,Manipa,Kaimer,Toyando,Mangur,Lewa/Dai,Seira,Sofyanin/Rumayaan,P. Kesui,Gorom,Banda Neira,Geser,Rumean,Banda Neira.1,Taniwel,Tifu,Moa.1,Nila,Marlasi.1,Jerol,Kobisadar,Werinama.2,Adault / Lingat,Lelam Kojabi,Dawera/Dawelor,Wahai,Ambalau,Tual,Mun,Buano,Kroing,Kisar1,Fadol,Sofyanin/ Rumayaan,Romang,Marsela,Serua,Amahai,Holat,P.Geser,Teon,Ambon,Nurkat,Saumlaki.1,Tanjung Priok,P. Luang,Arwala/Sutilirang,Fogi,Wulur,Kailakat,Werinama.1,Benjina,Meror,Bula,Lewa / Dai,Leksula,Lakor
Elat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanjung Perak,,,,,,5048250.68,,,5861605.2,4003158.2800000003,,,,2026570.48,,,,,,,,,,,,,,5861605.2,,,,,,,,,,,,4044053.2,,,4184913.48,,,4362124.8,,,,,,,,,,4712003.5600000005,,,,,,,,,,,,,,,,,5475375.4,,,,,,,,,,,,,,4462090.16,,5048250.68,,,,,,,,,,,,,
Tam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wamsisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Geser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutukembong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobo,29168.670000000002,100331.95,35581.64,,86264.79000000001,,35374.770000000004,57509.86,,,,,6206.1,,94746.46,21928.22,,20066.39,,26479.36,34961.03,105503.7,93918.98,91850.28,40132.78,,38477.82,,60406.04,53165.590000000004,104055.61,,70749.54000000001,,11584.720000000001,63095.35,92264.02,76335.03,33512.94,,14067.16,21721.350000000002,,51924.37,40960.26,,91022.8,29168.670000000002,26686.23,30203.02,,46545.75,,34340.42,40546.520000000004,,47373.23,33099.2,,104469.35,99504.47,,59578.56,,9516.02,68267.1,,51924.37,21100.74,,72197.63,90195.32,,17790.82,96608.29000000001,60199.17,,29375.54,32271.72,87299.14,62061.0,53165.590000000004,72818.24,21721.350000000002,,64543.44,,37236.6,,,76128.16,,107986.14,70956.41,36615.99,,3930.53,19652.65,59992.3,60406.04,102400.65000000001,81506.78
Werinama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelimuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waemulang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisar.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bebar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namlea.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lelang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Tior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namrole,67646.49,55854.9,74059.46,,57716.73,,61854.130000000005,66819.01,,,,,97642.64,,47993.840000000004,81920.52,,80886.17,,71990.76,69508.32,48614.450000000004,2689.31,19032.04,72611.37,,84402.96,,40753.39,46338.880000000005,7240.45,,48407.58,,102400.65000000001,62267.87,54199.94,68887.71,62681.61,,83368.61,112330.41,,56061.770000000004,57302.99,,16135.86,67232.75,72404.5,68473.97,,73645.72,,62061.0,58337.340000000004,,51717.5,76128.16,,27513.71,2896.1800000000003,,50476.28,,100745.69,44477.05,,75714.42,113571.63,,40339.65,9309.15,,80472.43000000001,24203.79,65164.05,,67439.62,76335.03,49855.67,67232.75,50683.15,31237.37,76541.90000000001,,50269.41,,69715.19,,,65784.66,,11377.85,49441.93,60406.04,,97849.51000000001,110468.58,52544.98,62474.74,5999.2300000000005,61233.520000000004
Banda Eli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moa,62681.61,17790.82,49855.67,,2275.57,,67025.88,26272.49,,,,,81299.91,,13446.550000000001,70335.8,,71990.76,,63509.090000000004,50890.020000000004,25031.27,56682.380000000005,59785.43,45304.53,,52131.24,,63509.090000000004,63302.22,67025.88,,16756.47,,106538.05,21721.350000000002,8481.67,13653.42,67439.62,,76128.16,84196.09,,68887.71,65370.92,,58957.950000000004,63922.83,63302.22,60199.17,,40132.78,,66819.01,67025.88,,64543.44,51924.37,,71990.76,62267.87,,26479.36,,79851.82,85023.57,,37443.47,99504.47,,84816.7,52958.72,,74266.33,64957.18,25238.14,,61647.26,52544.98,7861.06,25031.27,34961.03,60406.04,66198.4,,21514.48,,47993.840000000004,,,10757.24,,70956.41,15515.25,65991.53,,83575.48,82748.0,76748.77,23790.05,65577.79000000001,4758.01
Kelimoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Manawoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namlea,67646.49,66612.14,75093.81,,62267.87,,60199.17,71577.02,,,,,95780.81,,58957.950000000004,82334.26,,84196.09,,72404.5,70335.8,60199.17,10757.24,7447.32,74680.07,,91229.67,,38684.69,44270.18,21721.350000000002,,55234.29,,105710.57,72818.24,64957.18,67853.36,62267.87,,91022.8,103641.87,,51924.37,55648.03,,5999.2300000000005,66612.14,72611.37,69301.45,,77576.25,,61233.520000000004,56889.25,,49855.67,77369.38,,19238.91,16963.34,,53993.07,,96401.42,36409.12,,87919.75,116674.68000000001,,32064.850000000002,8895.41,,86471.66,11584.720000000001,73025.11,,67853.36,77989.99,61440.39,75714.42,54199.94,30203.02,75714.42,,61026.65,,70956.41,,,65577.79000000001,,25651.88,56268.64,58957.950000000004,,97228.90000000001,101986.91,43856.44,68680.84,20066.39,64336.57
Manipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
